gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
0,0,1.4,1.2,1.4,1.0,1.5379473220615085,0.9896631708393812
0,1,1.0,1.6,2.0,2.0,1.542060040878017,1.24796690963354
2,2,2.6,0.8,1.0,1.0,1.6870372211541989,0.9290022421480278
1,3,1.0,2.0,1.6,1.4,1.6215584983335367,1.079012829816599
3,0,1.2,2.0,1.4,0.2,1.6606127862128708,0.8869102127401042
2,2,2.2,0.8,2.0,1.6,1.6086188397012193,1.181406058015203
1,0,1.8,0.2,1.4,1.4,1.4224422101416205,1.0454211577055068
0,2,1.2,1.0,1.0,1.8,1.4645022213561352,1.036631771146972
1,0,1.4,1.0,0.8,0.6,1.4997739006767061,0.8520744881572753
1,0,0.8,3.2,1.2,1.2,1.8411572188064025,0.9854940890220514
2,0,1.4,1.4,2.4,1.4,1.57709236330152,1.2245256929142163
0,0,1.4,1.2,1.0,1.2,1.5379473220615085,0.9548138288888375
4,1,0.6,1.0,0.6,1.4,1.3635867233315615,0.9211916485324309
1,2,1.0,1.2,0.6,1.2,1.4664590713912027,0.8962889738731465
0,1,2.0,1.8,1.0,0.4,1.7811304838319,0.8556791452477224
2,2,1.2,1.8,1.6,1.2,1.6193946828774957,1.0498437578901176
3,0,0.8,1.6,0.6,1.2,1.5057938762045455,0.8962889738731465
0,0,0.8,0.4,1.4,1.6,1.2950052088722623,1.0744673512113494
1,0,1.6,1.6,1.6,0.6,1.6561838837890046,0.9669830368955475
2,1,1.4,1.2,1.8,1.4,1.5379473220615085,1.113683875945428
3,1,1.2,1.6,0.8,1.2,1.579199654913255,0.9250887021981548
1,0,1.0,0.8,1.2,1.6,1.3945645117949474,1.0410171882859462
2,0,0.4,1.4,1.0,1.0,1.4001621850370347,0.9290022421480278
3,1,1.2,0.6,2.0,1.2,1.3927035982058482,1.1183952580320164
3,0,1.4,1.0,0.6,1.0,1.4997739006767061,0.8720594959435266
3,2,2.2,2.2,0.6,1.6,1.918062836049288,0.9467862241558722
